,epoch,n_component,aic_from_scratch,bic_from_scratch,aic_sklearn,bic_sklearn
0,10,2,-26228.14453125,-26243.69921875,24119.050047899495,25057.467924541328
1,10,3,-26197.48046875,-26220.810546875,31383.653259703682,32793.872389242795
2,10,4,-22820.17578125,-22851.283203125,20528.795132573112,22410.815515009497
3,10,5,-23721.701171875,-23760.5859375,19079.47535321874,21433.2969885524
4,10,6,-24526.046875,-24572.708984375,11096.080576738485,13921.703464969421
5,10,7,-18055.427734375,-18109.8671875,1361.0189216876543,4658.443062815866
6,10,8,-25963.30078125,-26025.515625,35.84804970715595,3805.0734437326437
7,10,10,-22525.494140625,-22603.263671875,-218.59425710668233,4494.233642713356
8,30,2,,,24119.050047899495,25057.467924541328
9,30,3,-22780.625,-22803.955078125,24619.341543461815,26029.560673000924
10,30,4,-19748.49609375,-19779.603515625,20713.75125933381,22595.771641770196
11,30,5,-22367.25390625,-22406.138671875,6869.428405996123,9223.250041329784
12,30,6,-22313.04296875,-22359.705078125,15337.862502886226,18163.485391117163
13,30,7,-25964.064453125,-26018.50390625,15076.26787192194,18373.692013050153
14,30,9,-20033.333984375,-20103.326171875,1122.9274769624863,5363.95412388525
15,30,10,-20508.056640625,-20585.826171875,674.0539335231742,5386.881833343213
16,50,2,-25151.45703125,-25167.01171875,24119.050047899495,25057.467924541328
17,50,3,-22597.330078125,-22620.66015625,24619.45614498069,26029.6752745198
18,50,4,-23064.80078125,-23095.908203125,16330.574256256243,18212.59463869263
19,50,5,-26622.7734375,-26661.658203125,15394.49026088538,17748.311896219042
20,50,6,-19420.666015625,-19467.328125,7965.488562042756,10791.111450273693
21,50,7,-19951.341796875,-20005.78125,5862.690549399305,9160.114690527516
22,50,8,-21942.560546875,-22004.775390625,6817.318884832766,10586.544278858255
23,50,9,-21030.140625,-21100.1328125,4150.782505321302,8391.809152244066
24,50,10,-19893.484375,-19971.25390625,1786.8374747273165,6499.665374547355
25,100,2,-25545.998046875,-25561.552734375,24119.050047899495,25057.467924541328
26,100,3,-19740.125,-19763.455078125,16291.109511879027,17701.32864141814
27,100,4,-21518.111328125,-21549.21875,16168.32476167661,18050.345144112995
28,100,5,-22222.46484375,-22261.349609375,19078.447097754815,21432.268733088476
29,100,7,-23194.337890625,-23248.77734375,4636.176320301417,7933.600461429629
30,100,8,-22570.19921875,-22632.4140625,7660.044945039745,11429.270339065231
31,100,10,-19050.60546875,-19128.375,-4811.423543449883,-98.59564362984474
