,epoch,n_component,aic_from_scratch,bic_from_scratch,aic_sklearn,bic_sklearn
0,10,2,-21726.17578125,-21741.73046875,25404.304604794284,26342.722481436118
1,10,3,-24424.11328125,-24447.443359375,16211.86918913916,17622.08831867827
2,10,4,-22971.451171875,-23002.55859375,15449.600383454519,17331.620765890904
3,10,5,-19185.64453125,-19224.529296875,7285.518439586195,9639.340074919855
4,10,6,-25169.5703125,-25216.232421875,7419.871987969118,10245.494876200055
5,10,8,-18598.556640625,-18660.771484375,3025.921886316588,6795.147280342076
6,10,9,-19306.515625,-19376.5078125,-4151.755630176994,89.27101674576988
7,10,10,-17733.654296875,-17811.423828125,6688.242961314258,11401.070861134296
8,30,2,-24464.751953125,-24480.306640625,25404.304604794284,26342.722481436118
9,30,3,-26152.607421875,-26175.9375,16211.869189139163,17622.088318678274
10,30,4,-20947.39453125,-20978.501953125,12572.649364442219,14454.669746878604
11,30,5,-24567.77734375,-24606.662109375,8534.422317393164,10888.243952726825
12,30,6,-22071.52734375,-22118.189453125,10392.023343158638,13217.646231389575
13,30,7,-20383.62109375,-20438.060546875,1717.3995399435732,5014.823681071785
14,30,8,-24627.248046875,-24689.462890625,1880.221970390954,5649.447364416442
15,30,10,-18673.375,-18751.14453125,7301.850742840945,12014.678642660983
16,50,2,-25215.279296875,-25230.833984375,25404.304604794284,26342.722481436118
17,50,3,-21957.517578125,-21980.84765625,23468.26998664708,24878.48911618619
18,50,4,-21725.56640625,-21756.673828125,15314.559742974672,17196.580125411056
19,50,6,-19164.330078125,-19210.9921875,11832.791328422858,14658.414216653795
20,50,7,-21906.05078125,-21960.490234375,7138.381988370722,10435.806129498935
21,50,8,-21999.767578125,-22061.982421875,7145.439717408413,10914.6651114339
22,50,9,-23235.01171875,-23305.00390625,14770.985642244803,19012.012289167567
23,50,10,-18651.873046875,-18729.642578125,4639.459761670765,9352.287661490804
24,10,2,-26296.62109375,-26312.17578125,25404.304604794273,26342.722481436107
25,10,3,-18394.828125,-18418.158203125,16211.869189139165,17622.088318678274
26,10,4,-21033.5390625,-21064.646484375,15449.600383454523,17331.620765890908
27,10,5,-21881.330078125,-21920.21484375,20694.476876415316,23048.298511748977
28,10,6,-20184.01953125,-20230.681640625,11058.187745154179,13883.810633385116
29,10,7,-18482.783203125,-18537.22265625,7913.022928621814,11210.447069750026
30,10,8,-20974.474609375,-21036.689453125,15130.7735668689,18899.998960894387
31,10,9,-22238.958984375,-22308.951171875,7357.453783826548,11598.48043074931
